0.00 	 -nan	 -nan 	  -nan
0.01 	 -nan	 -nan 	  -nan
3.89 	 1.54	 0.61 	  0.37
3.90 	 1.52	 0.61 	  0.36
3.91 	 1.50	 0.60 	  0.34
3.92 	 1.47	 0.60 	  0.33
3.93 	 1.45	 0.60 	  0.32
3.94 	 1.43	 0.59 	  0.31
3.95 	 1.41	 0.59 	  0.30
3.96 	 1.39	 0.59 	  0.29
3.97 	 1.36	 0.58 	  0.27
3.98 	 1.34	 0.58 	  0.26
3.99 	 1.32	 0.58 	  0.25
4.00 	 1.29	 0.57 	  0.24
4.01 	 1.27	 0.57 	  0.23
4.02 	 1.24	 0.56 	  0.21
4.03 	 1.21	 0.55 	  0.20
4.04 	 1.19	 0.55 	  0.19
4.05 	 1.16	 0.54 	  0.18
4.06 	 1.13	 0.54 	  0.17
4.07 	 1.10	 0.53 	  0.16
4.08 	 1.07	 0.52 	  0.15
4.09 	 1.04	 0.51 	  0.14
4.10 	 1.01	 0.50 	  0.12
4.11 	 0.97	 0.49 	  0.11
4.12 	 0.94	 0.48 	  0.10
4.13 	 0.90	 0.47 	  0.09
4.14 	 0.87	 0.46 	  0.08
4.15 	 0.83	 0.44 	  0.07
4.16 	 0.78	 0.43 	  0.06
4.17 	 0.74	 0.41 	  0.05
4.18 	 0.69	 0.39 	  0.04
4.19 	 0.64	 0.37 	  0.04
4.20 	 0.59	 0.34 	  0.03
4.21 	 0.53	 0.31 	  0.02
4.22 	 0.46	 0.28 	  0.01
4.23 	 0.37	 0.23 	  0.01
4.24 	 0.26	 0.17 	  0.00
4.25 	 0.00	 0.00 	  0.00
4.26 	 0.00	 0.00 	  0.00
4.27 	 0.00	 0.00 	  0.00
4.28 	 0.00	 0.00 	  0.00
4.29 	 0.00	 0.00 	  0.00
4.30 	 0.00	 0.00 	  0.00
4.31 	 0.00	 0.00 	  0.00
4.32 	 0.00	 0.00 	  0.00
4.33 	 0.00	 0.00 	  0.00
4.34 	 0.00	 0.00 	  0.00
4.35 	 0.00	 0.00 	  0.00
4.36 	 0.00	 0.00 	  0.00
4.37 	 0.00	 0.00 	  0.00
4.38 	 0.00	 0.00 	  0.00
4.39 	 0.00	 0.00 	  0.00
4.40 	 0.00	 0.00 	  0.00
4.41 	 0.00	 0.00 	  0.00
4.42 	 0.00	 0.00 	  0.00
4.43 	 0.00	 0.00 	  0.00
4.44 	 0.00	 0.00 	  0.00
4.45 	 0.00	 0.00 	  0.00
4.46 	 0.00	 0.00 	  0.00
4.47 	 0.00	 0.00 	  0.00
4.48 	 0.00	 0.00 	  0.00
4.49 	 0.00	 0.00 	  0.00
4.50 	 0.00	 0.00 	  0.00
4.51 	 0.00	 0.00 	  0.00
4.52 	 0.00	 0.00 	  0.00
4.53 	 0.00	 0.00 	  0.00
4.54 	 0.00	 0.00 	  0.00
4.55 	 0.00	 0.00 	  0.00
4.56 	 0.00	 0.00 	  0.00
4.57 	 0.00	 0.00 	  0.00
4.58 	 0.00	 0.00 	  0.00
4.59 	 0.00	 0.00 	  0.00
4.60 	 0.00	 0.00 	  0.00
4.61 	 0.00	 0.00 	  0.00
4.62 	 0.00	 0.00 	  0.00
4.63 	 0.00	 0.00 	  0.00
4.64 	 0.00	 0.00 	  0.00
4.65 	 0.00	 0.00 	  0.00
4.66 	 0.00	 0.00 	  0.00
4.67 	 0.00	 0.00 	  0.00
4.68 	 0.00	 0.00 	  0.00
4.69 	 0.00	 0.00 	  0.00
