0.00001 	 -nan 	 -nan	 -nan 
1.87001 	 0.75878 	 1.49517	 3.01029 
1.88001 	 0.73018 	 1.48440	 2.79724 
1.89001 	 0.70021 	 1.46939	 2.57351 
1.90001 	 0.66869 	 1.44946	 2.33976 
1.91001 	 0.63539 	 1.42375	 2.09691 
1.92001 	 0.60000 	 1.39113	 1.84618 
1.93001 	 0.56213 	 1.35016	 1.58922 
1.94001 	 0.52125 	 1.29883	 1.32818 
1.95001 	 0.47658 	 1.23426	 1.06600 
1.96001 	 0.42693 	 1.15210	 0.80671 
1.97001 	 0.37030 	 1.04500	 0.55610 
1.98001 	 0.30280 	 0.89875	 0.32306 
1.99001 	 0.21439 	 0.67688	 0.12321 
2.00001 	 0.00000 	 0.00000	 0.00000 
2.01001 	 0.00000 	 0.00000	 0.00000 
2.02001 	 0.00000 	 0.00000	 0.00000 
2.03001 	 0.00000 	 0.00000	 0.00000 
2.04001 	 0.00000 	 0.00000	 0.00000 
2.05001 	 0.00000 	 0.00000	 0.00000 
2.06001 	 0.00000 	 0.00000	 0.00000 
2.07001 	 0.00000 	 0.00000	 0.00000 
2.08001 	 0.00000 	 0.00000	 0.00000 
2.09001 	 0.00000 	 0.00000	 0.00000 
2.10001 	 0.00000 	 0.00000	 0.00000 
2.11001 	 0.00000 	 0.00000	 0.00000 
2.12001 	 0.00000 	 0.00000	 0.00000 
2.13001 	 0.00000 	 0.00000	 0.00000 
2.14001 	 0.00000 	 0.00000	 0.00000 
2.15001 	 0.00000 	 0.00000	 0.00000 
2.16001 	 0.00000 	 0.00000	 0.00000 
2.17001 	 0.00000 	 0.00000	 0.00000 
2.18001 	 0.00000 	 0.00000	 0.00000 
2.19001 	 0.00000 	 0.00000	 0.00000 
2.20001 	 0.00000 	 0.00000	 0.00000 
2.21001 	 0.00000 	 0.00000	 0.00000 
2.22001 	 0.00000 	 0.00000	 0.00000 
2.23001 	 0.00000 	 0.00000	 0.00000 
2.24001 	 0.00000 	 0.00000	 0.00000 
2.25001 	 0.00000 	 0.00000	 0.00000 
2.26001 	 0.00000 	 0.00000	 0.00000 
2.27001 	 0.00000 	 0.00000	 0.00000 
2.28001 	 0.00000 	 0.00000	 0.00000 
2.29001 	 0.00000 	 0.00000	 0.00000 
2.30001 	 0.00000 	 0.00000	 0.00000 
2.31001 	 0.00000 	 0.00000	 0.00000 
2.32001 	 0.00000 	 0.00000	 0.00000 
2.33001 	 0.00000 	 0.00000	 0.00000 
2.34001 	 0.00000 	 0.00000	 0.00000 
2.35001 	 0.00000 	 0.00000	 0.00000 
2.36001 	 0.00000 	 0.00000	 0.00000 
2.37001 	 0.00000 	 0.00000	 0.00000 
2.38001 	 0.00000 	 0.00000	 0.00000 
2.39001 	 0.00000 	 0.00000	 0.00000 
2.40001 	 0.00000 	 0.00000	 0.00000 
2.41001 	 0.00000 	 0.00000	 0.00000 
2.42001 	 0.00000 	 0.00000	 0.00000 
2.43001 	 0.00000 	 0.00000	 0.00000 
2.44001 	 0.00000 	 0.00000	 0.00000 
2.45001 	 0.00000 	 0.00000	 0.00000 
2.46001 	 0.00000 	 0.00000	 0.00000 
2.47001 	 0.00000 	 0.00000	 0.00000 
2.48001 	 0.00000 	 0.00000	 0.00000 
2.49001 	 0.00000 	 0.00000	 0.00000 
2.50001 	 0.00000 	 0.00000	 0.00000 
2.51001 	 0.00000 	 0.00000	 0.00000 
2.52001 	 0.00000 	 0.00000	 0.00000 
2.53001 	 0.00000 	 0.00000	 0.00000 
2.54001 	 0.00000 	 0.00000	 0.00000 
2.55001 	 0.00000 	 0.00000	 0.00000 
2.56001 	 0.00000 	 0.00000	 0.00000 
2.57001 	 0.00000 	 0.00000	 0.00000 
2.58001 	 0.00000 	 0.00000	 0.00000 
2.59001 	 0.00000 	 0.00000	 0.00000 
2.60001 	 0.00000 	 0.00000	 0.00000 
2.61001 	 0.00000 	 0.00000	 0.00000 
2.62001 	 0.00000 	 0.00000	 0.00000 
2.63001 	 0.00000 	 0.00000	 0.00000 
2.64001 	 0.00000 	 0.00000	 0.00000 
2.65001 	 0.00000 	 0.00000	 0.00000 
2.66001 	 0.00000 	 0.00000	 0.00000 
2.67001 	 0.00000 	 0.00000	 0.00000 
2.68001 	 0.00000 	 0.00000	 0.00000 
2.69001 	 0.00000 	 0.00000	 0.00000 
2.70001 	 0.00000 	 0.00000	 0.00000 
2.71001 	 0.00000 	 0.00000	 0.00000 
2.72001 	 0.00000 	 0.00000	 0.00000 
2.73001 	 0.00000 	 0.00000	 0.00000 
2.74001 	 0.00000 	 0.00000	 0.00000 
2.75001 	 0.00000 	 0.00000	 0.00000 
2.76001 	 0.00000 	 0.00000	 0.00000 
2.77001 	 0.00000 	 0.00000	 0.00000 
2.78001 	 0.00000 	 0.00000	 0.00000 
2.79001 	 0.00000 	 0.00000	 0.00000 
2.80001 	 0.00000 	 0.00000	 0.00000 
2.81001 	 0.00000 	 0.00000	 0.00000 
2.82001 	 0.00000 	 0.00000	 0.00000 
2.83001 	 0.00000 	 0.00000	 0.00000 
2.84001 	 0.00000 	 0.00000	 0.00000 
2.85001 	 0.00000 	 0.00000	 0.00000 
2.86001 	 0.00000 	 0.00000	 0.00000 
2.87001 	 0.00000 	 0.00000	 0.00000 
2.88001 	 0.00000 	 0.00000	 0.00000 
2.89001 	 0.00000 	 0.00000	 0.00000 
2.90001 	 0.00000 	 0.00000	 0.00000 
2.91001 	 0.00000 	 0.00000	 0.00000 
2.92001 	 0.00000 	 0.00000	 0.00000 
2.93001 	 0.00000 	 0.00000	 0.00000 
2.94001 	 0.00000 	 0.00000	 0.00000 
2.95001 	 0.00000 	 0.00000	 0.00000 
2.96001 	 0.00000 	 0.00000	 0.00000 
2.97001 	 0.00000 	 0.00000	 0.00000 
2.98001 	 0.00000 	 0.00000	 0.00000 
2.99001 	 0.00000 	 0.00000	 0.00000 
3.00001 	 0.00000 	 0.00000	 0.00000 
3.01001 	 0.00000 	 0.00000	 0.00000 
3.02001 	 0.00000 	 0.00000	 0.00000 
3.03001 	 0.00000 	 0.00000	 0.00000 
3.04001 	 0.00000 	 0.00000	 0.00000 
3.05001 	 0.00000 	 0.00000	 0.00000 
3.06001 	 0.00000 	 0.00000	 0.00000 
3.07001 	 0.00000 	 0.00000	 0.00000 
3.08001 	 0.00000 	 0.00000	 0.00000 
3.09001 	 0.00000 	 0.00000	 0.00000 
3.10001 	 0.00000 	 0.00000	 0.00000 
3.11001 	 0.00000 	 0.00000	 0.00000 
3.12001 	 0.00000 	 0.00000	 0.00000 
3.13001 	 0.00000 	 0.00000	 0.00000 
3.14001 	 0.00000 	 0.00000	 0.00000 
3.15001 	 0.00000 	 0.00000	 0.00000 
3.16001 	 0.00000 	 0.00000	 0.00000 
3.17001 	 0.00000 	 0.00000	 0.00000 
3.18001 	 0.00000 	 0.00000	 0.00000 
3.19001 	 0.00000 	 0.00000	 0.00000 
